lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
47.4943034486,19.0439264044,Budapest,Hungary,Hungarian,1968,Maria Ruzitska,https://raw.githubusercontent.com/digitalkoine/hungarian_storymap/main/hungarian/1968%20Ruzitska.jpg,Jane Eyre: A Novel,Európa,Budapest. Hungary,
47.548868351,19.0707765932,Budapest,Hungary,Hungarian,1999,Maria Ruzitska,https://raw.githubusercontent.com/digitalkoine/hungarian_storymap/main/hungarian/1999%20Ruzitska.jpeg,A Lowood Orphan,Mûra,Budapest. Hungary,
47.5303780186,19.0484281652,Budapest,Hungary,Hungarian,2005,Gabor George. Maria Ruzitska,https://raw.githubusercontent.com/digitalkoine/hungarian_storymap/main/hungarian/2005%20Ruzitska%20and%20Go%CC%88rgey.jpg,Jane Eyre,Palatinus,Budapest. Hungary,
47.5169022587,19.0555521126,Budapest,Hungary,Hungarian,2014,Kiss Zsuzsa,https://raw.githubusercontent.com/digitalkoine/hungarian_storymap/main/hungarian/2014%20Zsuzsa.jpeg,Jane Eyre,Ulpius-ház,Budapest. Hungary,
